Date,Day,WLEMUINDXD
11/11/2019,Mon,42.16
12/11/2019,Tue,94.06
13/11/2019,Wed,36.2
14/11/2019,Thu,9.41
15/11/2019,Fri,19.87
16/11/2019,Sat,93.13
17/11/2019,Sun,132.22
18/11/2019,Mon,78.16
19/11/2019,Tue,10.87
20/11/2019,Wed,28.03
21/11/2019,Thu,19.01
22/11/2019,Fri,10.01
23/11/2019,Sat,124.73
24/11/2019,Sun,52.56
25/11/2019,Mon,15.44
26/11/2019,Tue,10.93
27/11/2019,Wed,29.28
28/11/2019,Thu,59.96
29/11/2019,Fri,12.83
30/11/2019,Sat,15.45
01/12/2019,Sun,27.52
02/12/2019,Mon,32.27
03/12/2019,Tue,22.73
04/12/2019,Wed,53.21
05/12/2019,Thu,9.68
06/12/2019,Fri,50.57
07/12/2019,Sat,139.17
08/12/2019,Sun,161.06
09/12/2019,Mon,108.72
10/12/2019,Tue,34.64
11/12/2019,Wed,28.41
12/12/2019,Thu,65.49
13/12/2019,Fri,140.27
14/12/2019,Sat,102.73
15/12/2019,Sun,207.09
16/12/2019,Mon,32.18
17/12/2019,Tue,156.8
18/12/2019,Wed,47.19
19/12/2019,Thu,19.49
20/12/2019,Fri,43.7
21/12/2019,Sat,87.32
22/12/2019,Sun,128.36
23/12/2019,Mon,16.18
24/12/2019,Tue,14.16
25/12/2019,Wed,57.05
26/12/2019,Thu,51.04
27/12/2019,Fri,111.94
28/12/2019,Sat,193.91
29/12/2019,Sun,234.03
30/12/2019,Mon,99.74
31/12/2019,Tue,92.54
01/01/2020,Wed,195.39
02/01/2020,Thu,109.58
03/01/2020,Fri,68.11
04/01/2020,Sat,217.28
05/01/2020,Sun,250.16
06/01/2020,Mon,101.33
07/01/2020,Tue,94.95
08/01/2020,Wed,105.29
09/01/2020,Thu,29.81
10/01/2020,Fri,10.3
11/01/2020,Sat,58.15
12/01/2020,Sun,55.74
13/01/2020,Mon,62.42
14/01/2020,Tue,68.85
15/01/2020,Wed,111.13
16/01/2020,Thu,40.2
17/01/2020,Fri,53.72
18/01/2020,Sat,14.65
19/01/2020,Sun,127.76
20/01/2020,Mon,54.04
21/01/2020,Tue,12.1
22/01/2020,Wed,19.3
23/01/2020,Thu,58.59
24/01/2020,Fri,42.43
25/01/2020,Sat,44.26
26/01/2020,Sun,83.34
27/01/2020,Mon,102.15
28/01/2020,Tue,177.55
29/01/2020,Wed,46.53
30/01/2020,Thu,137.4
31/01/2020,Fri,248.36
01/02/2020,Sat,114.64
02/02/2020,Sun,54.86
03/02/2020,Mon,108.64
04/02/2020,Tue,70.54
05/02/2020,Wed,92.92
06/02/2020,Thu,58.53
07/02/2020,Fri,53.44
08/02/2020,Sat,57.62
09/02/2020,Sun,27.2
10/02/2020,Mon,61.57
11/02/2020,Tue,34.36
12/02/2020,Wed,63.33
13/02/2020,Thu,39.25
14/02/2020,Fri,52.49
15/02/2020,Sat,86.21
16/02/2020,Sun,53.12
17/02/2020,Mon,66.68
18/02/2020,Tue,35.85
19/02/2020,Wed,101.92
20/02/2020,Thu,77.78
21/02/2020,Fri,82.92
22/02/2020,Sat,28.2
23/02/2020,Sun,65.33
24/02/2020,Mon,93.18
25/02/2020,Tue,388.12
26/02/2020,Wed,109.69
27/02/2020,Thu,212.21
28/02/2020,Fri,360.14
29/02/2020,Sat,647.86
01/03/2020,Sun,199.5
02/03/2020,Mon,201.53
03/03/2020,Tue,325.54
04/03/2020,Wed,323.56
05/03/2020,Thu,197.17
06/03/2020,Fri,255.77
07/03/2020,Sat,209.87
08/03/2020,Sun,394.79
09/03/2020,Mon,509.19
10/03/2020,Tue,822.47
11/03/2020,Wed,357.24
12/03/2020,Thu,321.78
13/03/2020,Fri,409.89
14/03/2020,Sat,590.13
15/03/2020,Sun,1229.76
16/03/2020,Mon,453.25
17/03/2020,Tue,623.11
18/03/2020,Wed,494.46
19/03/2020,Thu,621.34
20/03/2020,Fri,939.58
21/03/2020,Sat,429.25
22/03/2020,Sun,889.94
23/03/2020,Mon,491.15
24/03/2020,Tue,358.79
25/03/2020,Wed,435.62
26/03/2020,Thu,712.53
27/03/2020,Fri,396.87
28/03/2020,Sat,423.85
29/03/2020,Sun,678.59
30/03/2020,Mon,183.67
31/03/2020,Tue,286.15
01/04/2020,Wed,370.87
02/04/2020,Thu,393.89
03/04/2020,Fri,207.65
04/04/2020,Sat,214.98
05/04/2020,Sun,753.44
06/04/2020,Mon,364.22
07/04/2020,Tue,463.95
08/04/2020,Wed,285.79
09/04/2020,Thu,203.41
10/04/2020,Fri,330.69
11/04/2020,Sat,376.38
12/04/2020,Sun,559
